Designator,Footprint,Quantity,Value,LCSC Part #
"_48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,48,,
C1,0805,1,2.2n,
C10,0805,1,330n,
"C100, C115, C127, C143, C159, C16, C175, C18, C19, C191, C20, C21, C23, C27, C28, C29, C30, C93, C94, C95, C96, C97, C98, C99",0805,24,100n/0.7mm,
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C114, C117, C118, C119, C12, C120, C121, C123, C125, C126, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C139, C14, C141, C142, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C155, C157, C158, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C17, C171, C173, C174, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C187, C189, C190, C192, C193, C194, C195, C196, C31, C43, C51, C57, C64",0805,86,1µ/25V,
C11,1206,1,22µ/16V,
"C113, C122, C138, C154, C170, C186, C2, C41, C44, C46, C50",0805,11,10µ/25V,
"C116, C124, C140, C156, C172, C188, C42, C45, C48, C49, C52, C53, C55, C58",1210,14,100µ/6.3V,
C13,0805,1,4.7µ,
"C15, C32, C33, C34, C35, C36, C37, C38, C39, C6, C9",0805,11,1n/0.7mm,
"C22, C24, C25, C26",0805,4,2.2µ,
"C3, C4, C5",0603,3,22p,
"C40, C47, C54, C61",0805,4,3.3n/25V,
"C56, C59, C62, C66, C69, C72, C75, C78, C82, C85, C88, C90",1210,12,22µ/25V,
"C60, C63, C65, C67, C68, C70, C71, C73, C74, C77, C79, C81, C83, C86, C87, C89, C91, C92",1210,18,330µ/4V,
C7,0805,1,10n,
"C76, C80, C84",CP_Elec_8x10,3,220µ/25V,
C8,0603,1,12p,
D1,D_SOD-128,1,"PMEG4030EP,115",
D2,D_SMB,1,SMBJ12A,
D3,D_SOD-123,1,1N5819,
F1,Fuseholder Blade_3568,1,3568,
J1,CONN2,1,Connector 02x01,
L1,L_Taiyo-Yuden_NR-50xx,1,4.7µH/2.3A/2.7A,
"L2, L3, L4, L5",IFLR-4031GC-01-8x10,4,220nH,
"M1, M2",FanPinHeader_1x04_P2.54mm_Vertical,2,Fan_4pin,
R1,0805,1,33.2k,
"R10, R11",0805,2,2.2R/0.5W,
R12,0805,1,16.5k,
R13,0805,1,24.3k,
"R14, R15, R16, R27, R31, R34, R37, R40, R43, R46, R48",0805,11,10k,
"R17, R18, R19, R20, R21, R22, R23, R24",0805,8,1R/0.5W,
"R2, R3",0805,2,100,
"R25, R26, R32, R35",0805,4,0,
"R28, R29",0805,2,2.7k,
"R30, R33, R36, R39, R42, R45",0805,6,1k,
R4,0805,1,100k,
R5,0805,1,121k,
R6,0805,1,8.06k,
R7,0805,1,84.5k,
R8,0805,1,16.2k,
R9,0805,1,2.55k,
U1,SOT-23-6,1,AP3211,
U10,MSOP-10_3x3mm_P0.5mm,1,EMC2302-1,
U11,VSSOP-8_2.3x2mm_P0.5mm,1,TXU0102-DCU,
"U12, U13",TMP1075-DRL,2,TMP1075,
U14,TSSOP-14-1EP_4.4x5mm_P0.65mm,1,TXU0304PW,
U15,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,25MHz,
"U16, U17, U18, U19, U20, U21",BM1370,6,BM1370_mode1,
U2,Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias,1,TPS53647,
U3,SOT-23-5,1,MCP1824T-0802E,
"U4, U5, U6, U7",CSD95472-SON-5x6,4,CSD95472Q5MC,
U8,SOT-23-5,1,MCP1824T-1202E,
U9,T-Display-S3,1,T-Display-S3,
